Driver Model,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48
Active Rate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Balance Per Active,604.3956043956044,546.9061876247505,535.3938185443669,556.7729083665339,572.139303482587,575.5467196819086,572.9890764647467,582.3412698412699,603.5678889990089,618.8118811881188,657.7645895153314,726.2845849802371,704.3128966146094,616.0732481122363,589.8427767946748,602.1674834047348,609.630724852493,606.4505206924337,598.8721241127026,604.7170280420015,623.2996293309205,636.1596522861654,673.4370696962848,740.840048478869,714.8218310667098,621.5078844648516,592.6417649795708,602.9444377125839,608.6943436219436,604.2306288620578,595.7617779380943,600.8395782790357,618.6506881711318,630.8735554869429,667.3114043471174,733.5579245788815,707.4580975146004,614.9504890059037,586.2994684352143,596.4187027682431,602.0511395002121,597.60241272678,589.2109024662637,594.226616020218,611.8404673515619,623.9336740294137,659.9778283523835,725.5059253054284
Sales Per Active,149.85014985014985,95.80838323353294,107.67696909272183,119.5219123505976,119.40298507462687,107.3558648111332,95.33267130089375,107.14285714285714,118.92963330029733,118.81188118811882,178.04154302670622,237.15415019762847,151.76697476596422,97.02876205447232,109.04275716885019,121.03157817925415,120.90482872454336,108.70053261069629,96.52175965587428,108.47368584037699,120.40072253455166,120.27541325428545,180.22558297240792,240.05129522343415,149.88358803923634,95.83065888094808,107.70300583093382,119.55191842418002,119.43405879936157,107.38478427175545,95.35921783869689,107.17365974148652,118.9648919158613,118.8481649472134,178.09749393942084,237.2307686604181,148.13118090838057,94.71574275788907,106.45612676155253,118.1746650533123,118.06491753075015,106.15980826502272,94.27675184271963,105.96303826349332,117.62765044080759,117.51876336875738,176.11507162803508,234.60300675149497
Credit Penetration Rate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Average Ticket,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667,341.6666666666667
Customer Interest,1130438.3561643835,924843.8356164383,1003380.8219178083,1010794.5205479452,1074383.5616438356,1046958.904109589,1078120.5479452056,1096805.4794520547,1101205.4794520547,1167808.2191780822,1202465.7534246575,1373342.4657534247,1333199.058219178,1054422.8442682046,1118867.2767084907,1106559.5394167805,1158830.2472251642,1116766.539556453,1140763.1300690423,1153099.8925532375,1151393.9893864302,1215586.5464761893,1246602.5796320098,1418557.7317617352,1370093.9898761937,1077023.3389063224,1138160.6359404086,1121700.5324979562,1171298.7942656607,1126311.916797427,1148673.403074443,1159603.7270694466,1156599.1492695464,1219962.4529465544,1250023.5071722062,1421313.9362137327,1372021.356206612,1078203.973493784,1139168.5080061422,1122491.4877582896,1171950.1427483868,1126810.5608625908,1149086.6303978262,1159943.4829953196,1156871.0633090255,1220191.0473473908,1250202.214118219,1421457.9184742204
MDR,102767.12328767123,84076.71232876713,91216.43835616438,91890.4109589041,97671.23287671233,95178.08219178082,98010.95890410959,99709.5890410959,100109.5890410959,106164.38356164383,109315.06849315068,124849.31506849315,121199.91438356164,95856.62220620044,101715.20697349917,100596.32176516186,105348.20429319674,101524.23086876847,103705.73909718565,104827.26295938522,104672.18085331185,110507.86786147176,113327.50723927362,128959.79379652138,124553.99907965396,97911.21262784748,103469.14872185532,101972.7756816324,106481.70856960553,102391.99243612973,104424.85482494938,105418.52064267697,105145.37720632239,110905.67754059585,113638.50065201876,129210.35783761204,124729.2142006011,98018.54304488945,103560.77345510384,102044.68070529903,106540.92206803517,102437.32371478097,104462.42094525693,105449.40754502904,105170.09666445685,110926.45884976281,113654.74673801991,129223.44713402003
Funding Cost,-154150.68493150684,-126115.06849315068,-136824.65753424657,-137835.61643835617,-146506.84931506848,-142767.12328767125,-147016.43835616438,-149564.38356164383,-150164.38356164383,-159246.57534246575,-163972.60273972602,-187273.97260273973,-181799.87157534246,-143784.93330930063,-152572.81046024873,-150894.4826477428,-158022.30643979512,-152286.34630315268,-155558.6086457785,-157240.89443907782,-157008.27127996774,-165761.80179220764,-169991.26085891045,-193439.6906947821,-186830.99861948093,-146866.81894177123,-155203.72308278296,-152959.16352244857,-159722.56285440826,-153587.98865419457,-156637.28223742405,-158127.78096401543,-157718.06580948358,-166358.51631089376,-170457.7509780281,-193815.5367564181,-187093.82130090165,-147027.81456733416,-155341.16018265576,-153067.02105794856,-159811.38310205276,-153655.98557217148,-156693.6314178854,-158174.11131754357,-157755.14499668527,-166389.6882746442,-170482.12010702986,-193835.17070103003
Interest Margin,1079054.7945205478,882805.4794520548,957772.6027397261,964849.3150684931,1025547.9452054794,999369.8630136986,1029115.0684931506,1046950.6849315069,1051150.6849315069,1114726.0273972603,1147808.2191780822,1310917.808219178,1272599.1010273972,1006494.5331651045,1068009.6732217409,1056261.3785341997,1106156.145078566,1066004.4241220686,1088910.2605204496,1100686.2610735449,1099057.8989597743,1160332.6125454532,1189938.826012373,1354077.8348634744,1307816.9903363667,1028067.7325923987,1086426.061579481,1070714.1446571401,1118057.9399808578,1075115.9205793622,1096460.9756619683,1106894.466748108,1104026.460666385,1164509.6141762563,1193204.256846197,1356708.7572949263,1309656.7491063115,1029194.7019713392,1087388.1212785903,1071469.1474056398,1118679.6817143692,1075591.8990052002,1096855.4199251975,1107218.7792228048,1104286.014976797,1164727.8179225093,1193374.8407492088,1356846.1949072103
CVP,-102767.12328767123,-84076.71232876713,-91216.43835616438,-91890.4109589041,-97671.23287671233,-95178.08219178082,-98010.95890410959,-99709.5890410959,-100109.5890410959,-106164.38356164383,-109315.06849315068,-124849.31506849315,-121199.91438356164,-95856.62220620044,-101715.20697349917,-100596.32176516186,-105348.20429319674,-101524.23086876847,-103705.73909718565,-104827.26295938522,-104672.18085331185,-110507.86786147176,-113327.50723927362,-128959.79379652138,-124553.99907965396,-97911.21262784748,-103469.14872185532,-101972.7756816324,-106481.70856960553,-102391.99243612973,-104424.85482494938,-105418.52064267697,-105145.37720632239,-110905.67754059585,-113638.50065201876,-129210.35783761204,-124729.2142006011,-98018.54304488945,-103560.77345510384,-102044.68070529903,-106540.92206803517,-102437.32371478097,-104462.42094525693,-105449.40754502904,-105170.09666445685,-110926.45884976281,-113654.74673801991,-129223.44713402003
Total Revenue,1020037.6712328766,826728.7671232877,898056.1643835617,907958.904109589,962876.712328767,935691.7808219178,959104.1095890411,978741.095890411,986041.095890411,1043561.6438356165,1090993.1506849315,1256068.493150685,1201711.6866438356,942837.9109589041,1002519.4662482417,995915.0567690379,1041057.9407853691,1000705.1932533002,1017404.5214232639,1032083.9981141597,1034635.7181064624,1090074.7446839814,1136986.3187730995,1305618.041066953,1233575.4912567127,962356.5199645512,1019181.9128576256,1008991.3689755078,1051826.2314112524,1008948.9281432325,1024236.1208370189,1037700.946105431,1039131.0834600626,1093853.9366356605,1139940.7561941782,1307998.3994573143,1235240.0349057103,963376.1589264497,1020052.3478234864,1009674.4667003407,1052388.759646334,1009379.5752904193,1024592.9989799405,1037994.3716777758,1039365.91831234,1094051.3590727465,1140095.094011189,1308122.7477731903
NCL,256917.80821917808,210191.7808219178,228041.09589041097,229726.02739726027,244178.08219178082,237945.20547945207,245027.39726027398,249273.97260273973,250273.97260273973,265410.9589041096,273287.6712328767,312123.2876712329,302999.78595890413,239641.55551550107,254288.01743374788,251490.80441290472,263370.51073299185,253810.57717192115,259264.3477429642,262068.15739846308,261680.45213327964,276269.6696536794,283318.7680981841,322399.4844913035,311384.9976991349,244778.03156961873,258672.8718046383,254931.939204081,266204.2714240138,255979.98109032435,261062.13706237343,263546.3016066924,262863.443015806,277264.19385148963,284096.25163004687,323025.89459403016,311823.03550150275,245046.35761222366,258901.9336377596,255111.70176324763,266352.30517008796,256093.30928695246,261156.05236314228,263623.5188625726,262925.24166114215,277316.147124407,284136.8668450498,323058.6178350501
Net Credit Margin,763119.8630136985,616536.9863013698,670015.0684931508,678232.8767123288,718698.6301369863,697746.5753424658,714076.7123287672,729467.1232876712,735767.1232876712,778150.6849315069,817705.4794520548,943945.2054794522,898711.9006849315,703196.355443403,748231.4488144938,744424.2523561332,777687.4300523773,746894.616081379,758140.1736802998,770015.8407156966,772955.2659731827,813805.0750303019,853667.5506749153,983218.5565756494,922190.4935575777,717578.4883949325,760509.0410529873,754059.4297714268,785621.9599872386,752968.9470529081,763173.9837746455,774154.6444987386,776267.6404442566,816589.7427841709,855844.5045641314,984972.5048632841,923416.9994042076,718329.8013142261,761150.4141857268,754562.7649370931,786036.454476246,753286.2660034668,763436.9466167983,774370.8528152031,776440.676651198,816735.2119483395,855958.2271661392,985064.1299381402
Total Revenue Percentage,0.19851439616102373,0.19666058394160585,0.19690664984681924,0.19761776982707216,0.19716690042075735,0.19661917098445597,0.19571364678257952,0.19631834917843602,0.19699233716475095,0.1965935483870968,0.199605263157895,0.2012135176651306,0.19830239860414026,0.19671836734049183,0.19712282874466117,0.1980022806587227,0.19764132626085953,0.19713622741881687,0.1962098781186689,0.19691136999618797,0.19769067763217937,0.19728454919616326,0.20065495950114343,0.20248451127752523,0.1980788253081821,0.19657738764249394,0.1970020871820217,0.1978942638818941,0.19755998387717252,0.19707574862801824,0.19616711415188998,0.19687260640334484,0.1976560664994371,0.19725842010843259,0.2006258001739884,0.20246030137942506,0.1980674764645086,0.19657018539548243,0.19699589213008425,0.1978887012476898,0.19755578217622277,0.19707261741840548,0.19616489637299794,0.19687059336668747,0.19765426699728475,0.19725706029334517,0.20062428129626078,0.20245903925105976
Front Office Expenses,205534.24657534246,185643.83561643836,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,185643.83561643836,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,185643.83561643836,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,185643.83561643836,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246,205534.24657534246,198904.1095890411,205534.24657534246,198904.1095890411,205534.24657534246
Back Office Expenses,102767.12328767123,92821.91780821918,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,92821.91780821918,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,92821.91780821918,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,92821.91780821918,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123,102767.12328767123,99452.05479452055,102767.12328767123,99452.05479452055,102767.12328767123
Total Expenses,308301.3698630137,278465.7534246575,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,278465.7534246575,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,278465.7534246575,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,278465.7534246575,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137,308301.3698630137,298356.16438356164,308301.3698630137,298356.16438356164,308301.3698630137
Operating Income,454818.4931506848,338071.23287671234,361713.6986301371,379876.7123287671,410397.2602739726,399390.41095890413,405775.3424657535,421165.75342465757,437410.9589041096,469849.3150684932,519349.3150684932,635643.8356164384,590410.5308219178,424730.6020187455,439930.07895148016,446068.08797257155,469386.0601893636,448538.45169781736,449838.8038172861,461714.4708526829,474599.1015896211,505503.70516728825,555311.3862913537,674917.1867126357,613889.123694564,439112.73497027496,452207.67118997365,455703.2653878652,477320.59012422495,454612.7826693465,454872.6139116318,465853.2746357249,477911.47606069496,508288.3729211572,557488.3401805698,676671.1350002703,615115.6295411938,439864.0478895686,452849.0443227131,456206.6005535315,477735.08461323235,454930.10161990515,455135.5767537846,466069.48295218946,478084.5122676363,508433.8420853258,557602.0627825775,676762.7600751265
Net Credit Margin Percentage,0.14851439616102374,0.14666058394160586,0.14690664984681923,0.14761776982707214,0.14716690042075736,0.14661917098445598,0.14571364678257953,0.146318349178436,0.14699233716475096,0.14659354838709682,0.14960526315789502,0.15121351766513058,0.14830239860414024,0.14671836734049182,0.14712282874466115,0.14800228065872267,0.14764132626085952,0.14713622741881688,0.14620987811866892,0.14691136999618798,0.14769067763217936,0.14728454919616324,0.15065495950114344,0.15248451127752521,0.14807882530818212,0.14657738764249395,0.14700208718202168,0.14789426388189408,0.1475599838771725,0.14707574862801825,0.14616711415189,0.14687260640334482,0.14765606649943708,0.1472584201084326,0.1506258001739884,0.15246030137942507,0.14806747646450857,0.14657018539548244,0.14699589213008424,0.14788870124768982,0.14755578217622278,0.1470726174184055,0.14616489637299795,0.14687059336668745,0.14765426699728473,0.14725706029334518,0.15062428129626076,0.15245903925105975
Total Expenses Percentage,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Operating Income Percentage,0.08851439616102375,0.08666058394160586,0.08690664984681923,0.08761776982707215,0.08716690042075736,0.08661917098445598,0.08571364678257953,0.086318349178436,0.08699233716475097,0.08659354838709682,0.08960526315789502,0.09121351766513058,0.08830239860414024,0.08671836734049182,0.08712282874466115,0.08800228065872268,0.08764132626085952,0.08713622741881688,0.08620987811866893,0.08691136999618798,0.08769067763217936,0.08728454919616324,0.09065495950114344,0.09248451127752522,0.08807882530818212,0.08657738764249395,0.08700208718202168,0.08789426388189409,0.08755998387717251,0.08707574862801826,0.08616711415188999,0.08687260640334482,0.08765606649943708,0.0872584201084326,0.09062580017398841,0.09246030137942507,0.08806747646450858,0.08657018539548245,0.08699589213008424,0.08788870124768983,0.08755578217622279,0.0870726174184055,0.08616489637299796,0.08687059336668745,0.08765426699728474,0.08725706029334518,0.09062428129626077,0.09245903925105975
LLR Balance,5041666.666666667,5080798.730022832,5080798.730022832,5080798.730022832,5209901.185443773,5209901.185443773,5209901.185443773,5292059.10330439,5292059.10330439,5292059.10330439,5350491.395097445,5350491.395097445,5350491.395097445,5398312.23747346,5398312.23747346,5398312.23747346,5419916.3461671,5419916.3461671,5419916.3461671,5431251.269381824,5431251.269381824,5431251.269381824,5437344.034862767,5437344.034862767,5437344.034862767,5440413.920591029,5440413.920591029,5440413.920591029,5441542.504649185,5441542.504649185,5441542.504649185,5442134.633388302,5442134.633388302,5442134.633388302,5442452.915345192,5442452.915345192,5442452.915345192,5445522.801073454,5445522.801073454,5445522.801073454,5446651.38513161,5446651.38513161,5446651.38513161,5447243.513870727,5447243.513870727,5447243.513870727,5447561.795827617,5447561.795827617
Loan Loss Reserve,0.0,39132.06335616484,0.0,0.0,129102.45542094111,0.0,0.0,82157.91786061693,0.0,0.0,58432.2917930549,0.0,0.0,47820.84237601515,0.0,0.0,21604.108693639748,0.0,0.0,11334.923214724287,0.0,0.0,6092.765480943024,0.0,0.0,3069.885728262365,0.0,0.0,1128.5840581553057,0.0,0.0,592.1287391176447,0.0,0.0,318.2819568896666,0.0,0.0,3069.885728262365,0.0,0.0,1128.5840581553057,0.0,0.0,592.1287391176447,0.0,0.0,318.2819568896666,0.0
Total EBIT,454818.4931506848,298939.1695205475,361713.6986301371,379876.7123287671,281294.80485303147,399390.41095890413,405775.3424657535,339007.83556404064,437410.9589041096,469849.3150684932,460917.0232754383,635643.8356164384,590410.5308219178,376909.75964273035,439930.07895148016,446068.08797257155,447781.95149572386,448538.45169781736,449838.8038172861,450379.5476379586,474599.1015896211,505503.70516728825,549218.6208104107,674917.1867126357,613889.123694564,436042.8492420126,452207.67118997365,455703.2653878652,476192.00606606965,454612.7826693465,454872.6139116318,465261.14589660725,477911.47606069496,508288.3729211572,557170.0582236801,676671.1350002703,615115.6295411938,436794.16216130625,452849.0443227131,456206.6005535315,476606.50055507704,454930.10161990515,455135.5767537846,465477.3542130718,478084.5122676363,508433.8420853258,557283.7808256878,676762.7600751265
Total EBIT Percentage,0.08851439616102375,0.07735192705617823,0.08690664984681923,0.08761776982707215,0.060730773504267324,0.08661917098445598,0.08571364678257953,0.06983890750171722,0.08699233716475097,0.08659354838709682,0.07891464335615817,0.09121351766513058,0.08830239860414024,0.07674079014751581,0.08712282874466115,0.08800228065872268,0.08353985935146391,0.08713622741881688,0.08620987811866893,0.08474877929321104,0.08769067763217936,0.08728454919616324,0.08957971031771632,0.09248451127752522,0.08807882530818212,0.08595031222470075,0.08700208718202168,0.08789426388189409,0.08734800680180138,0.08707574862801826,0.08616711415188999,0.08676026774871226,0.08765606649943708,0.0872584201084326,0.09056978360300878,0.09246030137942507,0.08806747646450858,0.08594379662599085,0.08699589213008424,0.08788870124768983,0.08734392291383822,0.0870726174184055,0.08616489637299796,0.08675828761686809,0.08765426699728474,0.08725706029334518,0.09056827273242607,0.09245903925105975
